"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 12:41:29 CST 2023","Sun Jul 23 12:41:30 CST 2023","767","testcase","test_baidu","TestBaidu","","","test_search[\u8f93\u5165\u82f1\u6587\u641c\u7d22]",""
"passed","Sun Jul 23 12:41:27 CST 2023","Sun Jul 23 12:41:29 CST 2023","1764","testcase","test_baidu","TestBaidu","","","test_search[\u8f93\u5165\u4e2d\u6587\u641c\u7d22]",""
